1,10425,Kwas nadsiarkowy
1,10407,Kwas oleinowy
1,10433,Kwas ortofosforowy
1,10437,Kwas pikrynowy
1,10453,Kwas pirogalusowy
1,10468,Kwas salicylowy
1,10474,Kwas sebacynowy
1,10502,Kwas siarkawy
1,10503,Kwas siarkowy
1,10185,Kwas solny
1,10497,Kwas stearynowy
1,10412,Kwas szczawiowy
1,10150,Kwas węglowy
1,10515,Kwas winowy
1,10541,Kwas wolframowy
1,10016,Kwasoodporne mieszaniny chemiczne
1,10014,Kwasy
1,10110,Kwasy benzenopochodne
1,10396,Kwasy mineralne
1,10501,Kwasy sulfonowe
1,10340,Kwasy tłuszczowe
1,10410,Kwaśny szczawian potasowy
1,10299,Kwiat siarczany do celów chemicznych
1,10674,Laktoza [surowy materiał]
1,10672,Laktoza dla przemysłu spożywczego
1,10673,Laktoza do celów przemysłowych
1,10375,Lantan
1,10588,Lecytyna [surowiec]
1,10663,Lecytyna dla przemysłu spożywczego
1,10664,Lecytyna do celów przemysłowych
1,10334,Lep na ptaki
1,10379,Lit (Li)
1,10153,Lutet [Lu]
1,10382,Magnezyt
1,10384,Manganian
1,10156,Masa papiernicza
1,10192,Mastyks do skór
1,10341,Mastyks do szczepienia drzew
1,10193,Mastyksy do opon
1,10621,Materiały ceramiczne w formie pyłu do użytku jako środki filtrujące
1,10612,Materiały filtracyjne [substancje mineralne]
1,10613,Materiały filtracyjne [substancje roślinne]
1,10610,Materiały filtracyjne [tworzywa sztuczne nieprzetworzone]
1,10611,Materiały filtrujące z substancji chemicznych
1,10620,Materiały syntetyczne do absorpcji oleju
1,10512,Mąka z tapioki do celów przemysłowych
1,10289,Mąki do celów przemysłowych
1,10560,Metale alkaliczne
1,10039,Metale ziem alkalicznych
1,10390,Metaloidy
1,10394,Metan
1,10538,Metylobenzen
1,10132,Miazga drzewna
1,10295,Mieszaniny do gwintowania
1,10646,Mieszanki ceramiczne do spiekania [granulki i proszki]
1,10288,Mieszanki do gaszenia ognia
1,10032,Mieszanki do naprawiania dętek
1,10465,Mieszanki do naprawy opon
1,10631,Mieszanki do produkcji ceramiki technicznej
1,10653,Mieszanki do usuwania tapet
1,10680,Mikroorganizmy (Kultury -) inne, niż do celów medycznych lub weterynaryjnych
1,10179,Moderatory do reaktorów jądrowych
1,10636,Morska woda do celów przemysłowych
1,10472,Mydła [metaliczne] do celów przemysłowych
1,10421,Nadboran sodowy
1,10423,Nadchlorany
1,10424,Nadsiarczany
1,10414,Nadtlenek wodoru do celów przemysłowych
1,10422,Nadwęglany
1,10399,Naftalen
1,10717,Nanoproszki do celów przemysłowych
1,10271,Nawozy
1,10094,Nawozy azotowe
1,10659,Nawozy z mączki rybnej
1,10400,Neodym (Nd)
1,10401,Neon (Ne)
1,10402,Neptun (Np)
1,10403,Neutralizatory gazów toksycznych
1,10419,Nitroceluloza
1,10710,Obornik
1,10133,Ocet drzewny
1,10277,Ocet spirytusowy [rozcieńczony roztwór kwasu octowego]
1,10064,Octan amylu
1,10008,Octan celulozy w stanie surowym
1,10565,Octan glinu
1,10440,Octan ołowiu
1,10171,Octan wapnia
1,10007,Octany
1,10178,Odczynniki chemiczne, inne niż do użytku medycznego lub weterynaryjnego
1,10706,Olej przekładniowy
1,10348,Oleje do konserwacji żywności
1,10349,Oleje do przemysłowego garbowania skór
1,10350,Oleje do wyprawiania skór
1,10644,Oleje przekładniowe
1,10655,Olejowe spoiwa [kity, lepiki]
1,10408,Oliwin (krzemian)
